admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,name,ownership,region,state,locale_type,locale_size
0.6880000000000001,1189.0,47551.0,85606.0,74353.0,2607.0,43.049192,-76.090435,Syracuse,Le Moyne College,private non-profit,mid east,NY,suburb,large
0.7945,,29968.0,43275.0,27173.0,5870.0,41.021626,-73.874447,Dobbs Ferry,Mercy College,private non-profit,mid east,NY,suburb,large
0.9378000000000001,1100.0,44066.0,81559.0,63908.0,1996.0,41.513872,-74.012655,Newburgh,Mount Saint Mary College,private non-profit,mid east,NY,suburb,large
0.7782,1021.0,46411.0,51007.0,34712.0,1630.0,40.913657,-73.908887,Bronx,College of Mount Saint Vincent,private non-profit,mid east,NY,city,large
0.26930000000000004,1325.0,69450.0,116127.0,78843.0,2598.0,43.097035,-73.785335,Saratoga Springs,Skidmore College,private non-profit,mid east,NY,suburb,small
0.5296000000000001,1019.0,29746.0,42440.0,30171.0,2853.0,35.208166,-78.069388,Mount Olive,University of Mount Olive,private non-profit,southeast,NC,town,large
0.5236000000000001,,29395.0,28163.0,21406.0,1302.0,35.771181,-78.637693,Raleigh,Shaw University,private non-profit,southeast,NC,city,large
0.4685,1336.0,23600.0,79302.0,64900.0,23708.0,35.785111,-78.674517,Raleigh,North Carolina State University at Raleigh,public,southeast,NC,city,large
0.6279,980.0,41924.0,36678.0,24995.0,1999.0,36.019665,-77.773982,Rocky Mount,North Carolina Wesleyan College,private non-profit,southeast,NC,city,small
0.0891,1516.0,72466.0,95583.0,61560.0,6596.0,36.001135,-78.937624,Durham,Duke University,private non-profit,southeast,NC,city,large
0.7214,1265.0,49493.0,142286.0,112797.0,6196.0,36.104148,-79.50344,Elon,Elon University,private non-profit,southeast,NC,suburb,medium
0.6787000000000001,987.0,16030.0,30423.0,23815.0,4915.0,35.073641,-78.891696,Fayetteville,Fayetteville State University,public,southeast,NC,city,medium
,,24759.0,52437.0,42490.0,37.0,61.598553,-149.111972,Palmer,Alaska Bible College,private non-profit,far west,AK,town,medium
,,20773.0,17387.0,12480.0,1602.0,33.938779,-84.354907,Atlanta,American InterContinental University-Atlanta,private for-profit,southeast,GA,city,medium
,,,77216.0,61012.0,335.0,45.531476,-122.697773,Portland,Linfield College-School of Nursing,private non-profit,far west,OR,city,large
0.782,1108.0,21620.0,88097.0,67737.0,1858.0,41.056081,-73.542206,Stamford,University of Connecticut-Stamford,public,new england,CT,city,medium
,,34757.0,39606.0,29132.0,565.0,40.26193,-76.880261,Harrisburg,Harrisburg University of Science and Technology,private non-profit,mid east,PA,city,small
0.8006000000000001,1172.0,20618.0,52193.0,37793.0,5146.0,33.47037,-81.989071,Augusta,Augusta University,public,southeast,GA,city,medium
0.8571000000000001,,37432.0,30588.0,22648.0,188.0,38.852326,-77.050273,Arlington,DeVry University-Virginia,private for-profit,southeast,VA,city,medium
0.9157000000000001,,34504.0,30588.0,22648.0,963.0,40.747747,-73.983492,New York,DeVry College of New York,private for-profit,mid east,NY,city,large
0.8094,1130.0,15666.0,59749.0,44262.0,17661.0,34.530219,-83.985694,Dahlonega,University of North Georgia,public,southeast,GA,town,large
0.875,,,30588.0,22648.0,159.0,39.91934,-105.008901,Westminster,DeVry University-Colorado,private for-profit,rocky mountains,CO,suburb,large
0.9524,,31391.0,30588.0,22648.0,580.0,25.987643,-80.339842,Miramar,DeVry University-Florida,private for-profit,southeast,FL,suburb,large
,,,33036.0,27679.0,1904.0,31.053407,-97.775182,Killeen,Texas A&M University-Central Texas,public,southwest,TX,rural,large
,,20404.0,25959.0,18602.0,70241.0,33.40213,-111.965987,Phoenix,University of Phoenix-Arizona,private for-profit,southwest,AZ,city,medium
,,,25959.0,18602.0,15.0,30.422403,-91.150412,Baton Rouge,University of Phoenix-Louisiana,private for-profit,southeast,LA,city,medium
,,21197.0,25959.0,18602.0,275.0,36.12164,-115.322506,Las Vegas,University of Phoenix-Nevada,private for-profit,far west,NV,suburb,large
,,21280.0,25959.0,18602.0,744.0,29.7837,-95.585258,Houston,University of Phoenix-Texas,private for-profit,southwest,TX,city,large
,,,25959.0,18602.0,61.0,39.95219,-75.169354,Philadelphia,University of Phoenix-Pennsylvania,private for-profit,mid east,PA,city,large
,,,29130.0,20000.0,35.0,36.040441,-79.963547,High Point,South University-High Point,private for-profit,southeast,NC,city,medium
0.6000000000000001,,19300.0,43932.0,38527.0,81.0,41.124819,-74.068553,Monsey,Yeshiva Gedolah Kesser Torah,private non-profit,mid east,NY,suburb,large
1.0,,,30588.0,22648.0,47.0,41.474094,-87.325889,Merrillville,DeVry University-Indiana,private for-profit,great lakes,IN,suburb,large
